Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@ornikar,prismic-components,0.0.4,,2026-08-04T10:19:41.489Z,2026-08-04T10:25:24.124Z
npm,,pob-test-package-in-monorepo,5.2.2,,2026-08-04T10:19:26.377Z,2026-08-04T10:25:20.003Z
npm,@ornikar,babel-preset-react,6.1.4,,2026-08-04T10:19:10.443Z,2026-08-04T10:25:19.049Z
npm,@ornikar,eslint-config-babel-use,13.2.2,,2026-08-04T10:19:26.385Z,2026-08-04T10:25:33.597Z
npm,@ornikar,eslint-plugin-neverthrow,1.3.2,,2026-08-04T10:19:26.483Z,2026-08-04T10:25:21.427Z
npm,@ornikar,babel-preset-react,6.1.5,,2026-08-04T10:19:26.573Z,2026-08-04T10:25:20.262Z
npm,,native-frontend-orb,1.1.5,,2026-08-04T10:19:26.570Z,2026-08-04T10:25:21.679Z
npm,@ornikar,prismic-components,0.0.2,,2026-08-04T10:19:10.313Z,2026-08-04T10:25:24.752Z
npm,,native-frontend-orb,1.1.4,,2026-08-04T10:19:10.529Z,2026-08-04T10:25:25.363Z
npm,@ornikar,eslint-config-babel-use,13.2.1,,2026-08-04T10:19:10.598Z,2026-08-04T10:25:33.792Z
npm,,native-frontend-orb,1.1.6,,2026-08-04T10:19:41.852Z,2026-08-04T10:25:22.449Z
npm,,pob-test-package-in-monorepo,5.2.1,,2026-08-04T10:19:10.452Z,2026-08-04T10:25:24.924Z
npm,,pob-test-package-in-monorepo,5.2.3,,2026-08-04T10:19:41.497Z,2026-08-04T10:25:25.270Z
npm,@hubsync,web-sdk-react,6.3.22,,2026-08-04T10:25:36.130Z,2026-08-04T10:27:26.499Z
npm,@hubsync,web-sdk-react,6.3.23,,2026-08-04T10:26:30.103Z,2026-08-04T10:27:27.732Z
npm,@hubsync,web-sdk-react,6.3.24,,2026-08-04T10:28:02.717Z,2026-08-04T10:29:02.338Z
npm,,ecto,5.0.1,,2026-08-04T10:28:01.451Z,2026-08-04T10:33:19.087Z
npm,@hubsync,web-sdk-react,6.3.27,,2026-08-04T10:32:23.707Z,2026-08-04T10:33:52.147Z
npm,@hubsync,web-sdk-react,6.3.26,,2026-08-04T10:31:36.789Z,2026-08-04T10:33:22.657Z
npm,@hubsync,web-sdk-react,6.3.25,,2026-08-04T10:30:45.180Z,2026-08-04T10:33:25.200Z
npm,@hubsync,web-sdk-react,6.3.29,,2026-08-04T10:35:18.270Z,2026-08-04T10:36:34.392Z
npm,@hubsync,web-sdk-react,6.3.28,,2026-08-04T10:32:48.238Z,2026-08-04T10:36:36.023Z
npm,@arv-bedrock,auth-sso-backend,1.7.1,,2026-08-04T10:32:09.655Z,2026-08-04T10:38:07.025Z
npm,@arv-bedrock,auth-sso-backend,1.7.2,,2026-08-04T10:36:23.029Z,2026-08-04T10:38:09.036Z
npm,@arv-bedrock,auth-sso,1.6.1,,2026-08-04T10:32:09.633Z,2026-08-04T10:38:08.907Z
npm,@arv-bedrock,auth-sso,1.6.2,,2026-08-04T10:36:22.740Z,2026-08-04T10:38:03.424Z
npm,@hubsync,web-sdk-react,6.3.30,,2026-08-04T10:36:05.169Z,2026-08-04T10:37:34.054Z
npm,@arv-bedrock,logger,1.7.1,,2026-08-04T10:32:09.622Z,2026-08-04T10:38:11.416Z
npm,@arv-bedrock,auth-admin,1.0.3,,2026-08-04T10:36:22.747Z,2026-08-04T10:38:15.282Z
npm,@arv-bedrock,auth,1.1.7,,2026-08-04T10:32:09.821Z,2026-08-04T10:38:22.795Z
npm,@arv-bedrock,auth-admin,1.0.2,,2026-08-04T10:32:09.498Z,2026-08-04T10:38:20.917Z
npm,@arv-bedrock,auth,1.1.8,,2026-08-04T10:36:22.726Z,2026-08-04T10:38:19.645Z
