item_type,category,identifier,detail,href
"package","npm","@tanstack/react-start-rsc","credential_stealer | versions: 0.0.47, 0.0.50","/ti/packages/npm/@tanstack/react-start-rsc"
"package","npm","@tanstack/react-start-server","credential_stealer | versions: 1.166.55, 1.166.58","/ti/packages/npm/@tanstack/react-start-server"
"package","npm","@tanstack/router-cli","credential_stealer | versions: 1.166.46, 1.166.49","/ti/packages/npm/@tanstack/router-cli"
"package","npm","@tanstack/router-core","credential_stealer | versions: 1.169.5, 1.169.8","/ti/packages/npm/@tanstack/router-core"
"package","npm","@tanstack/router-devtools","credential_stealer | versions: 1.166.16, 1.166.19","/ti/packages/npm/@tanstack/router-devtools"
"package","npm","@tanstack/router-devtools-core","credential_stealer | versions: 1.167.6, 1.167.9","/ti/packages/npm/@tanstack/router-devtools-core"
"package","npm","@tanstack/router-generator","credential_stealer | versions: 1.166.45, 1.166.48","/ti/packages/npm/@tanstack/router-generator"
"package","npm","@tanstack/router-plugin","credential_stealer | versions: 1.167.38, 1.167.41","/ti/packages/npm/@tanstack/router-plugin"
"package","npm","@tanstack/router-ssr-query-core","credential_stealer | versions: 1.168.3, 1.168.6","/ti/packages/npm/@tanstack/router-ssr-query-core"
"package","npm","@tanstack/router-utils","credential_stealer | versions: 1.161.11, 1.161.14","/ti/packages/npm/@tanstack/router-utils"
"package","npm","@tanstack/router-vite-plugin","credential_stealer | versions: 1.166.53, 1.166.56","/ti/packages/npm/@tanstack/router-vite-plugin"
"package","npm","@tanstack/solid-router","credential_stealer | versions: 1.169.5, 1.169.8","/ti/packages/npm/@tanstack/solid-router"
"package","npm","@tanstack/solid-router-devtools","credential_stealer | versions: 1.166.16, 1.166.19","/ti/packages/npm/@tanstack/solid-router-devtools"
"package","npm","@tanstack/solid-router-ssr-query","credential_stealer | versions: 1.166.15, 1.166.18","/ti/packages/npm/@tanstack/solid-router-ssr-query"
"package","npm","@tanstack/solid-start","credential_stealer | versions: 1.167.65, 1.167.68","/ti/packages/npm/@tanstack/solid-start"
"package","npm","@tanstack/solid-start-client","credential_stealer | versions: 1.166.50, 1.166.53","/ti/packages/npm/@tanstack/solid-start-client"
"package","npm","@tanstack/solid-start-server","credential_stealer | versions: 1.166.54, 1.166.57","/ti/packages/npm/@tanstack/solid-start-server"
"package","npm","@tanstack/start-client-core","credential_stealer | versions: 1.168.5, 1.168.8","/ti/packages/npm/@tanstack/start-client-core"
"package","npm","@tanstack/start-fn-stubs","credential_stealer | versions: 1.161.9, 1.161.12","/ti/packages/npm/@tanstack/start-fn-stubs"
"package","npm","@tanstack/start-plugin-core","credential_stealer | versions: 1.169.23, 1.169.26","/ti/packages/npm/@tanstack/start-plugin-core"
"package","npm","@tanstack/start-server-core","credential_stealer | versions: 1.167.33, 1.167.36","/ti/packages/npm/@tanstack/start-server-core"
"package","npm","@tanstack/start-static-server-functions","credential_stealer | versions: 1.166.44, 1.166.47","/ti/packages/npm/@tanstack/start-static-server-functions"
"package","npm","@tanstack/start-storage-context","credential_stealer | versions: 1.166.38, 1.166.41","/ti/packages/npm/@tanstack/start-storage-context"
"package","npm","@tanstack/valibot-adapter","credential_stealer | versions: 1.166.12, 1.166.15","/ti/packages/npm/@tanstack/valibot-adapter"
"package","npm","@tanstack/virtual-file-routes","credential_stealer | versions: 1.161.10, 1.161.13","/ti/packages/npm/@tanstack/virtual-file-routes"
"package","npm","@tanstack/vue-router","credential_stealer | versions: 1.169.5, 1.169.8","/ti/packages/npm/@tanstack/vue-router"
"package","npm","@tanstack/vue-router-devtools","credential_stealer | versions: 1.166.16, 1.166.19","/ti/packages/npm/@tanstack/vue-router-devtools"
"package","npm","@tanstack/vue-router-ssr-query","credential_stealer | versions: 1.166.15, 1.166.18","/ti/packages/npm/@tanstack/vue-router-ssr-query"
"package","npm","@tanstack/vue-start","credential_stealer | versions: 1.167.61, 1.167.64","/ti/packages/npm/@tanstack/vue-start"
"package","npm","@tanstack/vue-start-client","credential_stealer | versions: 1.166.46, 1.166.49","/ti/packages/npm/@tanstack/vue-start-client"
"package","npm","@tanstack/vue-start-server","credential_stealer | versions: 1.166.50, 1.166.53","/ti/packages/npm/@tanstack/vue-start-server"
"package","npm","@tanstack/zod-adapter","credential_stealer | versions: 1.166.12, 1.166.15","/ti/packages/npm/@tanstack/zod-adapter"
"package","npm","@taskflow-corp/cli","other | versions: 0.1.24, 0.1.25, 0.1.26, 0.1.27, 0.1.28, 0.1.29","/ti/packages/npm/@taskflow-corp/cli"
"package","npm","@tolka/cli","other | versions: 1.0.2, 1.0.3, 1.0.4, 1.0.5, 1.0.6","/ti/packages/npm/@tolka/cli"
"package","npm","@uipath/access-policy-sdk","other | versions: 0.3.1","/ti/packages/npm/@uipath/access-policy-sdk"
"package","npm","@uipath/access-policy-tool","other | versions: 0.3.1","/ti/packages/npm/@uipath/access-policy-tool"
"package","npm","@uipath/admin-tool","other | versions: 0.1.1","/ti/packages/npm/@uipath/admin-tool"
"package","npm","@uipath/agent-sdk","other | versions: 1.0.2","/ti/packages/npm/@uipath/agent-sdk"
"package","npm","@uipath/agent-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/agent-tool"
"package","npm","@uipath/agent.sdk","other | versions: 0.0.18","/ti/packages/npm/@uipath/agent.sdk"
"package","npm","@uipath/aops-policy-tool","other | versions: 0.3.1","/ti/packages/npm/@uipath/aops-policy-tool"
"package","npm","@uipath/ap-chat","other | versions: 1.5.7","/ti/packages/npm/@uipath/ap-chat"
"package","npm","@uipath/api-workflow-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/api-workflow-tool"
"package","npm","@uipath/apollo-core","other | versions: 5.9.2","/ti/packages/npm/@uipath/apollo-core"
"package","npm","@uipath/apollo-react","other | versions: 4.24.5","/ti/packages/npm/@uipath/apollo-react"
"package","npm","@uipath/apollo-wind","other | versions: 2.16.2","/ti/packages/npm/@uipath/apollo-wind"
"package","npm","@uipath/auth","other | versions: 1.0.1","/ti/packages/npm/@uipath/auth"
"package","npm","@uipath/case-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/case-tool"
"package","npm","@uipath/cli","other | versions: 1.0.1","/ti/packages/npm/@uipath/cli"
"package","npm","@uipath/codedagent-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/codedagent-tool"
"package","npm","@uipath/codedagents-tool","other | versions: 0.1.12","/ti/packages/npm/@uipath/codedagents-tool"
"package","npm","@uipath/codedapp-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/codedapp-tool"
"package","npm","@uipath/common","other | versions: 1.0.1","/ti/packages/npm/@uipath/common"
"package","npm","@uipath/context-grounding-tool","other | versions: 0.1.1","/ti/packages/npm/@uipath/context-grounding-tool"
"package","npm","@uipath/data-fabric-tool","other | versions: 1.0.2","/ti/packages/npm/@uipath/data-fabric-tool"
"package","npm","@uipath/docsai-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/docsai-tool"
"package","npm","@uipath/filesystem","other | versions: 1.0.1","/ti/packages/npm/@uipath/filesystem"
"package","npm","@uipath/flow-tool","other | versions: 1.0.2","/ti/packages/npm/@uipath/flow-tool"
"package","npm","@uipath/functions-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/functions-tool"
"package","npm","@uipath/gov-tool","other | versions: 0.3.1","/ti/packages/npm/@uipath/gov-tool"
"package","npm","@uipath/identity-tool","other | versions: 0.1.1","/ti/packages/npm/@uipath/identity-tool"
"package","npm","@uipath/insights-sdk","other | versions: 1.0.1","/ti/packages/npm/@uipath/insights-sdk"
"package","npm","@uipath/insights-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/insights-tool"
"package","npm","@uipath/integrationservice-sdk","other | versions: 1.0.2","/ti/packages/npm/@uipath/integrationservice-sdk"
"package","npm","@uipath/integrationservice-tool","other | versions: 1.0.2","/ti/packages/npm/@uipath/integrationservice-tool"
"package","npm","@uipath/llmgw-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/llmgw-tool"
"package","npm","@uipath/maestro-sdk","other | versions: 1.0.1","/ti/packages/npm/@uipath/maestro-sdk"
"package","npm","@uipath/maestro-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/maestro-tool"
"package","npm","@uipath/orchestrator-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/orchestrator-tool"
"package","npm","@uipath/packager-tool-apiworkflow","other | versions: 0.0.19","/ti/packages/npm/@uipath/packager-tool-apiworkflow"
"package","npm","@uipath/packager-tool-bpmn","other | versions: 0.0.9","/ti/packages/npm/@uipath/packager-tool-bpmn"
"package","npm","@uipath/packager-tool-case","other | versions: 0.0.9","/ti/packages/npm/@uipath/packager-tool-case"
"package","npm","@uipath/packager-tool-connector","other | versions: 0.0.19","/ti/packages/npm/@uipath/packager-tool-connector"
"package","npm","@uipath/packager-tool-flow","other | versions: 0.0.19","/ti/packages/npm/@uipath/packager-tool-flow"
"package","npm","@uipath/packager-tool-functions","other | versions: 0.1.1","/ti/packages/npm/@uipath/packager-tool-functions"
"package","npm","@uipath/packager-tool-webapp","other | versions: 1.0.6","/ti/packages/npm/@uipath/packager-tool-webapp"
"package","npm","@uipath/packager-tool-workflowcompiler","other | versions: 0.0.16","/ti/packages/npm/@uipath/packager-tool-workflowcompiler"
"package","npm","@uipath/packager-tool-workflowcompiler-browser","other | versions: 0.0.34","/ti/packages/npm/@uipath/packager-tool-workflowcompiler-browser"
